offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
1983799514451960686	2017-09-11T00:00:00+03:00	2017-09-15T00:00:00+03:00	70000.0	3	False	2	False	100.0	5.0	70.0		0.0	2	2	Россия, Санкт-Петербург, набережная канала Грибоедова, 38	3976567739161800286
4585736381339435009	2018-03-19T00:00:00+03:00	2018-06-26T00:00:00+03:00	6500000.0	1	False	3	False	75.0	9.2	49.4		11.0	1	2	Россия, Санкт-Петербург, Пушкин, Новая улица, 36	2266436950605731154
9000233555991805440	2016-08-14T00:00:00+03:00	2018-02-06T00:00:00+03:00	3200000.0	20	False	1	False	35.0	10.0	15.0		3.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 14к1	7076615050583062318
815502316019347712	2017-01-28T00:00:00+03:00	2017-06-26T00:00:00+03:00	25000.0	3	False	2	False	48.0	8.0	31.0	50.0	0.0	2	2	Россия, Санкт-Петербург, улица Турку, 11к1	4742224465764683667
5614092655284850277	2016-10-01T00:00:00+03:00	2016-12-09T00:00:00+03:00	1762150.0	1	False	1	False	27.11				0.0	1	2	Россия, Ленинградская область, Всеволожск, Степной проспект, 16к1	6706314870092204050
5290894150213789697	2017-03-21T00:00:00+03:00	2017-11-08T00:00:00+03:00	10900000.0	10	False	3	False	80.0	12.0	47.0		10.0	1	2	Россия, Санкт-Петербург, Учительская улица, 18А	1428663482715703531
7628260672595284564	2018-06-13T00:00:00+03:00	2018-07-03T00:00:00+03:00	17000.0	7	False	2	False	50.0	7.0	29.0	50.0		2	2	Россия, Санкт-Петербург, Придорожная аллея, 3к1	848532979298766985
814514258924241152	2017-11-20T00:00:00+03:00	2018-08-18T00:00:00+03:00	1300000.0	4	False	3	False	62.5					1	2	Россия, Ленинградская область, Бокситогорский район, Пикалёвское городское поселение, Пикалёво, 6-й микрорайон, 12	111329847375144877
378188367925479169	2016-04-08T00:00:00+03:00	2016-06-06T00:00:00+03:00	4500000.0	2	False	1	False	36.0	7.0	18.0		10.0	1	2	Россия, Санкт-Петербург, Троицкий проспект, 20	6956466604845942871
2554639205167165983	2015-09-06T00:00:00+03:00	2018-08-20T00:00:00+03:00	6650000.0	7	False	2	False	55.0	10.5	32.0			1	2	Россия, Санкт-Петербург, улица Кораблестроителей, 36к1	7323709713868743186
7569506429740825616	2018-02-01T00:00:00+03:00	2018-07-26T00:00:00+03:00	17000.0	5	False	1	False	33.0	9.0	16.0	100.0	6.0	2	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, Новая улица, 7к2	1435952942574912765
4447831770674155009	2018-03-23T00:00:00+03:00	2018-03-23T00:00:00+03:00	17000.0	4	False	1	False	35.0	10.0	17.0		3.0	2	2	Россия, Санкт-Петербург, улица Маршала Казакова, 68к1	5809952634094105883
1032948023130533669	2016-08-15T00:00:00+03:00	2018-02-08T00:00:00+03:00	7600000.0	4	False	3	False	79.0					1	2	Россия, Санкт-Петербург, Ораниенбаумская улица, 13	6694368346821654577
1896730479118515433	2017-05-23T00:00:00+03:00	2017-09-06T00:00:00+03:00	60000.0	5	False	2	False	60.0	11.0	52.0	100.0	0.0	2	2	Россия, Санкт-Петербург, набережная реки Фонтанки, 18	3406104650917898508
8310251267259104521	2017-09-20T00:00:00+03:00	2017-10-19T00:00:00+03:00	55000.0	5	False	2	False	52.0	18.0	18.0		0.0	2	2	Россия, Санкт-Петербург, Малая Зеленина улица, 1/22	2972761956561171244
236598655649224741	2018-06-25T00:00:00+03:00	2018-08-05T00:00:00+03:00	25000.0	9	False	2	False	43.0	7.0	27.0	90.0		2	2	Россия, Санкт-Петербург, улица Шотмана, 4	442235708202061075
6300461494541398673	2018-03-06T00:00:00+03:00	2018-04-04T00:00:00+03:00	3750000.0	2	False	1	False	34.0	8.4	17.4		6.0	1	2	Россия, Санкт-Петербург, проспект Обуховской Обороны, 138к2	3083028653280224776
6014937019229662721	2017-02-27T00:00:00+03:00	2018-08-13T00:00:00+03:00	3400000.0	1	False	2	False	45.0	6.0	29.0		3.0	1	2	Россия, Санкт-Петербург, Ланское шоссе, 45	2148107491418386268
